Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
Chemical_and_Genetic_pertubation	JAATINEN_HEMATOPOIETIC_STEM_CELL_DN	192	31	7.039655212200693e-06	0.005811235377671672	FGR:TGFBR3:SH2D1B:CD247:RGS18:PLBD1:LYZ:GPR18:PNP:BCL11B:ISG20:IGSF6:CXCL16:CDK5R1:SGSH:KLF1:BLVRB:GNLY:CST7:ITGB2:IL2RB:LGALS2:CCR1:FGFBP2:VCAN:ITK:SGK1:CD36:CTSB:SLC25A37:KLF4	http://www.gsea-msigdb.org/gsea/msigdb/cards/JAATINEN_HEMATOPOIETIC_STEM_CELL_DN
Chemical_and_Genetic_pertubation	KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_UP	519	62	1.1627271820782531e-05	0.007678650310444783	CLIC4:MUTYH:TM2D1:CTSS:RGS2:SIPA1L2:PTPRE:LSP1:PHF21A:FAM111A:ATG2A:FOXJ2:LRMP:ARHGAP9:MBD6:UHRF1BP1L:SSH1:CCDC92:CHFR:LSP1:MTMR6:NHLRC3:ARHGEF40:RALGAPA1:ARID4A:PCNX:SECISBP2L:RAB8B:HAGH:CARHSP1:N4BP1:NFAT5:SEC14L1:TIMP2:TGIF1:ZNF397:PRAM1:HCST:BLVRB:BCL3:TRIB2:NCOA1:ARHGAP25:MXD1:RBCK1:NCOA3:PREX1:CBS:FAM134B:RGS14:SERPINB6:GPSM3:CDKN1A:HEBP2:FBXL13:DNAJB9:IFRD1:SLC25A37:PAG1:SLA:ST3GAL1:KLF4:NUP214	http://www.gsea-msigdb.org/gsea/msigdb/cards/KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_UP
Chemical_and_Genetic_pertubation	CUI_TCF21_TARGETS_2_DN	427	52	3.6596280101563505e-05	0.02006819791283365	TGFBR3:CTSS:RGS2:YOD1:ITPKB:LYST:SRGN:LIPA:OSBPL5:CLEC4C:SLC48A1:RAP1B:LYZ:PARP4:MTMR6:FNDC3A:SOS2:ARID4A:PRKCH:SECISBP2L:HAGH:CBFA2T3:ZBTB4:ABI3:ARHGEF18:TRIB2:RASGRP3:FOXN2:ZEB2:FAM126B:PCMTD2:RCAN1:IQSEC1:EPHB1:CLOCK:HOPX:LRBA:GUCY1A3:FAM134B:SERPINB6:FAM46A:SGK1:CD36:IFRD1:GIMAP6:DNAJB6:TACC1:PAG1:TP53INP1:TLE4:ZCCHC6:KLF4	http://www.gsea-msigdb.org/gsea/msigdb/cards/CUI_TCF21_TARGETS_2_DN
Chemical_and_Genetic_pertubation	HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_DN	200	30	4.254312095391749e-05	0.02006819791283365	E2F2:LAPTM5:LRRC41:S100A11:HERC4:ZMIZ1:CHST15:LRMP:SELPLG:OAS2:FNDC3A:ISG20:PFAS:NFIC:BCL3:RASGRP3:ZEB2:WIPF1:DOCK10:IFNAR2:AP000295.9:CBS:PLCL2:CCR1:CCR2:GUCY1A3:TNS3:CDK14:DNAJB9:IFRD1:SLA	http://www.gsea-msigdb.org/gsea/msigdb/cards/HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_DN
Chemical_and_Genetic_pertubation	QI_PLASMACYTOMA_UP	184	28	5.879070545068383e-05	0.02170271664382737	FGR:S100A13:LSP1:TRIM21:SWAP70:ARAP1:ARHGDIB:TMBIM6:APAF1:LSP1:TNFSF13B:ITGB3:ITGB3:ABI3:GNA15:CST7:ITGB2:IL2RB:ARPC4:PLCL2:CCR1:CCR2:IRF1:LY86:LST1:GPSM3:PSMB9:FSCN1:SNX10:SLA	http://www.gsea-msigdb.org/gsea/msigdb/cards/QI_PLASMACYTOMA_UP
Chemical_and_Genetic_pertubation	AMIT_EGF_RESPONSE_120_HELA	47	12	5.9153376679117606e-05	0.02170271664382737	RUNX3:BDNF:PUS3:NDEL1:MATK:JUND:TGFA:OGFR:ARPC4:CDKN1A:LAT2:EPHB4	http://www.gsea-msigdb.org/gsea/msigdb/cards/AMIT_EGF_RESPONSE_120_HELA
Chemical_and_Genetic_pertubation	HELLER_HDAC_TARGETS_DN	195	29	6.678808443426394e-05	0.022053425480193952	LAPTM5:LRRC41:S100A11:PFKP:ZMIZ1:CHST15:ARHGDIB:LRMP:SELPLG:GTF3A:ISG20:CDK5R1:MBP:NFIC:RASGRP3:ZEB2:WIPF1:DOCK10:INPP5D:CBS:CRELD2:CCR1:CCR2:MRPL3:SERP1:GUCY1A3:TNS3:DNAJB9:SLA	http://www.gsea-msigdb.org/gsea/msigdb/cards/HELLER_HDAC_TARGETS_DN
Chemical_and_Genetic_pertubation	THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_DN	201	29	0.00011610266735505053	0.03196948742976023	CSF3R:RGS2:ITPKB:LSP1:PITPNM1:PRCP:ARHGDIB:NFE2:APAF1:SELPLG:ARPC3:LSP1:ARID4A:CBFA2T3:SEC14L1:MYO9B:NCOA1:TGFA:CXCR2:INPP5D:ITGB2:MTMR3:XPC:TKT:UBA3:RGS14:LST1:TBPL1:GNAQ:NUP214	http://www.gsea-msigdb.org/gsea/msigdb/cards/THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_DN
Chemical_and_Genetic_pertubation	TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN	134	22	0.00011667974086178072	0.03196948742976023	RUNX3:LAPTM5:ZBTB16:SLC48A1:NFE2:DYRK2:SELPLG:ITGAL:CBFA2T3:ITGA2B:MBP:KLF1:JUND:CST7:CSF2RB:SLCO4C1:RGS14:LST1:CCND3:LAT2:CD36:SLA	http://www.gsea-msigdb.org/gsea/msigdb/cards/TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN
Chemical_and_Genetic_pertubation	HAN_SATB1_TARGETS_UP	243	33	0.00013299490547175098	0.03196948742976023	PIK3CD:SRGN:LIPA:CHST15:PTPRE:BDNF:UCP2:CASP4:DDX10:NINJ2:RAB8B:ISG20:MBP:MAT2A:TNS1:RBCK1:NCOA3:RAB22A:ADARB1:ST13:RANGAP1:PACSIN2:TSPO:CRELD2:PLXNB2:SCO2:MSMO1:FAM134B:GLRX:ECHDC1:DNAJB9:DNAJB6:SH3GLB2	http://www.gsea-msigdb.org/gsea/msigdb/cards/HAN_SATB1_TARGETS_UP
Chemical_and_Genetic_pertubation	SMID_BREAST_CANCER_LUMINAL_B_DN	233	32	0.00013554597941146072	0.03196948742976023	TNFRSF4:PIK3CD:CLIC4:RUNX3:YBX1:CD247:SELL:RGS2:PFKP:KLF6:SRGN:GSTP1:NINJ2:LRMP:LYZ:GPR18:BCL11B:ISG20:ARHGAP25:GNLY:BIN1:RCAN1:MCM5:LGALS2:CCR2:GUCY1A3:VCAN:ITK:VNN2:FSCN1:SLC25A37:CLIC3	http://www.gsea-msigdb.org/gsea/msigdb/cards/SMID_BREAST_CANCER_LUMINAL_B_DN
Chemical_and_Genetic_pertubation	SCHLOSSER_SERUM_RESPONSE_UP	83	16	0.00014789600680053546	0.03255684096369121	S100A11:PITPNM1:KLF12:NME3:PDPK1:PDPK2:CBFA2T3:CDK10:SLC9A3R1:MYO9B:JUND:ARHGAP25:ADA:ARPC4:IRF1:GPSM3:ST3GAL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/SCHLOSSER_SERUM_RESPONSE_UP
Hallmark_gene_sets	HALLMARK_IL2_STAT5_SIGNALING	135	20	0.0009255354329225135	0.033469939139271244	TNFRSF4:POU2F1:SELL:MAPKAPK2:KLF6:ITIH5:RNH1:SWAP70:PNP:PRKCH:GPX4:MXD1:FAM126B:CST7:NCOA3:IL2RB:HOPX:SERPINB6:CCND3:GLIPR2	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING
Hallmark_gene_sets	HALLMARK_ALLOGRAFT_REJECTION	139	20	0.0013387975655708498	0.033469939139271244	FGR:CTSS:CD247:SRGN:IRF7:IGSF6:ITGAL:BCL3:STAT4:IFNAR2:AP000295.9:ITGB2:IL2RB:CCR1:CCR2:MRPL3:F2R:ITK:LY86:HLA-DMA:CCND3	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ALLOGRAFT_REJECTION
Hallmark_gene_sets	HALLMARK_COMPLEMENT	125	18	0.0022672991813416817	0.03778831968902803	CDA:CTSS:S100A13:SPOCK2:LIPA:IRF7:PRCP:CASP4:DYRK2:CDK5R1:TIMP2:DOCK10:USP16:IRF1:PSMB9:PREP:CD36:CTSB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_COMPLEMENT
Immunologic_signatures	GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN	181	37	1.4592481431330474e-09	7.109456953344207e-06	FGR:CSF3R:CTSS:S100A11:CREG1:ZMIZ1:CHST15:PTPRE:PLBD1:NFE2:LYZ:IGSF6:ADAP2:SNX11:TIMP2:FTL:CD93:BID:PISD:CSF2RB:PLXNB2:TYMP:GLB1:CCR1:UBA3:VCAN:GLRX:E2F3:VNN2:SNX10:TNS3:LAT2:CD36:CTSB:ASAH1:ZCCHC6:KLF4	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN
Immunologic_signatures	GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN	183	35	2.5074149941225047e-08	6.108062925682421e-05	FGR:LAPTM5:CSF3R:CTSS:S100A11:CREG1:QSOX1:ZMIZ1:CHST15:PTPRE:ARAP1:PLBD1:LYZ:ADPGK:IGSF6:ADAP2:SNX11:TIMP2:ARID3A:BCL3:FTL:CD93:CST3:BID:PISD:CSF2RB:PLXNB2:CCR1:VCAN:TNS3:LAT2:CD36:CTSB:ASAH1:KLF4	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN
Immunologic_signatures	GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN	183	33	2.7063445133878717e-07	0.00043951034897419036	FGR:LAPTM5:CSF3R:S100A11:CREG1:ZMIZ1:CHST15:PTPRE:ARAP1:PLBD1:ARHGEF40:IGSF6:ADAP2:SNX11:TIMP2:FTL:CD93:BID:PISD:CSF2RB:PLXNB2:GLB1:CCR1:VCAN:GLRX:VNN2:SNX10:TNS3:LAT2:CD36:CTSB:ASAH1:ZFAND5	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN
Immunologic_signatures	GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN	177	31	1.2065836527244787e-06	0.001469618889018415	EFHD2:TMEM50A:PPT1:S100A11:CREG1:SRGN:ZMIZ1:CHST15:PTPRE:RNH1:PLBD1:LYZ:KLF13:ITGAL:TIMP2:BCL3:FTL:HPCAL1:CD93:BID:PISD:CSF2RB:PLXNB2:TKT:VCAN:GLRX:SERPINB6:SGK1:ADAP1:CTSB:ASAH1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN
Immunologic_signatures	GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP	171	30	1.7302717589273059e-06	0.0016336556973678448	PIK3CD:SPEN:CSF3R:SELL:RGS2:LYST:KLF6:IRF7:PHF21A:NFE2:KLF13:SPSB3:CBFA2T3:ASGR2:CRLF3:SLC9A3R1:ARID3A:LILRA3:CD93:PPM1F:MTMR3:UBA3:RGS14:GPSM3:VNN2:ADAP1:LAT2:AGTPBP1:ZCCHC6:KLF4	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP
Immunologic_signatures	GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_CD8A_DC_DN	146	27	2.011891252916065e-06	0.0016336556973678448	LRRC41:ZZZ3:HIST2H2BE:CREG1:ANXA7:ZMIZ1:LIPA:CHST15:PTPRE:PHF21A:LYZ:RALGAPA1:ARHGAP25:ADA:PCMTD2:NRIP1:PPM1F:PLXNB2:TKT:GUCY1A3:FAM134B:SERPINB6:HIST1H2BD:HIST1H3H:LST1:SENP6:GNAQ	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_CD8A_DC_DN
Immunologic_signatures	GSE42088_UNINF_VS_LEISHMANIA_INF_DC_24H_UP	169	29	4.07675664782453e-06	0.002837422626885873	RUNX3:CSF3R:RGS2:LIPA:ATG2A:PLBD1:ADPGK:ORC6:CBFA2T3:SGSH:JUND:MXD1:INPP5D:NCOA3:ITGB2:PPM1F:TSPO:IQSEC1:TKT:ZXDC:VCAN:PJA2:HLA-DMA:GALNT11:ASAH1:TACC1:SLA:AGTPBP1:KLF4	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE42088_UNINF_VS_LEISHMANIA_INF_DC_24H_UP
Immunologic_signatures	GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP	154	27	5.781033309183581e-06	0.003520649285292801	TMEM50A:CSF3R:ATF6:CAMK1D:PRCP:ARHGAP9:SEC11A:CARHSP1:CRLF3:TIMP2:RFX2:GMIP:CEACAM3:WIPF1:FAM126B:CST7:RCAN1:ITGB2:CECR6:TSPO:SCO2:UBA3:TBC1D14:AGPAT1:UBR2:TACC1:ARRDC1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP
Immunologic_signatures	GSE14415_INDUCED_TREG_VS_FAILED_INDUCED_TREG_DN	123	23	9.50652858433126e-06	0.005146200806984655	S100A11:S100A13:ATF6:RGS2:LAX1:PFKP:SRGN:SWAP70:STARD10:NCAPD2:PNP:JDP2:CARHSP1:ITGAL:ZEB2:NAB1:CST7:PREX1:F2R:LY86:SNX10:AZIN1:SLA	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE14415_INDUCED_TREG_VS_FAILED_INDUCED_TREG_DN
Immunologic_signatures	GSE42088_2H_VS_24H_LEISHMANIA_INF_DC_UP	161	27	1.3543954004820245e-05	0.0063184572933633375	CDA:LAPTM5:CSF3R:PPT1:CTSS:RGS2:LSP1:PRCP:PLBD1:ARHGDIB:LYZ:SELPLG:LSP1:CARS2:TIMP2:JUND:PLD3:CST3:ITGB2:PPM1F:MTMR3:TSPO:TKT:LY86:LST1:ASAH1:TACC1:KLF4	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE42088_2H_VS_24H_LEISHMANIA_INF_DC_UP
Immunologic_signatures	GSE3982_NEUTROPHIL_VS_TH1_UP	118	22	1.5562702693013146e-05	0.0063184572933633375	PADI4:ARAP1:ARHGDIB:CTDSP2:APAF1:MMP25:GMIP:FCAR:CTB-61M7.2:ARHGAP25:MXD1:TRPC4AP:IFNAR2:AP000295.9:ITGB2:PISD:SETD2:SERP1:LST1:GPSM3:FAM46A:SLA:AGTPBP1:KLF4	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE3982_NEUTROPHIL_VS_TH1_UP
Immunologic_signatures	GSE17721_CTRL_VS_POLYIC_4H_BMDC_DN	118	22	1.5562702693013146e-05	0.0063184572933633375	CSF3R:LRRC41:MAPKAPK2:CHST15:CASP4:IKBIP:PARP4:PCNX:RAB8B:CARHSP1:N4BP1:CRLF3:ADAP2:SERTAD1:DOPEY2:CBS:CLDND1:VCAN:PSMB9:CDKN1A:PAG1:OSTF1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE17721_CTRL_VS_POLYIC_4H_BMDC_DN
Immunologic_signatures	GSE3982_NEUTROPHIL_VS_EFF_MEMORY_CD4_TCELL_UP	166	27	2.3963151239464976e-05	0.008467858825252028	PADI4:CDA:SLC25A44:PTPRE:PRCP:NINJ2:UHRF1BP1L:MTMR6:PRR14:NDEL1:MYO9B:CEACAM3:BCL3:FTL:FCAR:CTB-61M7.2:NCOA1:MXD1:DYSF:NAB1:RBCK1:TRPC4AP:PACSIN2:IRF1:LST1:GPSM3:OSTF1:GNAQ	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE3982_NEUTROPHIL_VS_EFF_MEMORY_CD4_TCELL_UP
Immunologic_signatures	GSE14415_INDUCED_TREG_VS_FOXP3_KO_INDUCED_TREG_DN	130	23	2.4332927658770194e-05	0.008467858825252028	S100A11:S100A13:UFC1:ATF6:SRGN:SWAP70:GSTP1:STARD10:ATP2B1:PNP:JDP2:CARHSP1:ITGAL:MLKL:GLOD4:ZEB2:STAT4:DSTN:CST3:CST7:HOPX:F2R:SNX10	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE14415_INDUCED_TREG_VS_FOXP3_KO_INDUCED_TREG_DN
Immunologic_signatures	GSE22886_NAIVE_CD8_TCELL_VS_NKCELL_DN	149	25	2.7903421864365988e-05	0.009063031421546073	CD247:LYST:CAMK1D:SRGN:PTPRE:PHF21A:NCAM1:SSH1:PLEKHO2:HBQ1:PRR14:NFAT5:NARF:ARID3A:LPIN1:MTMR3:PISD:IL2RB:RFTN1:ALPK1:SLCO4C1:PREP:LAT2:TACC1:ZCCHC6	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE22886_NAIVE_CD8_TCELL_VS_NKCELL_DN
Immunologic_signatures	GSE45365_NK_CELL_VS_CD11B_DC_MCMV_INFECTION_DN	141	24	3.1578689767189385e-05	0.009615711034109168	SH2D1B:PTPRE:PHF21A:DERA:NFE2:OAS2:ISG20:ITGAL:CBFA2T3:SLC43A2:ABI3:MOB3A:NAB1:TNS1:DOCK10:CST7:PREX1:IFNAR2:AP000295.9:CCR2:RGS14:HLA-DMA:LAT2:DOCK8:GLIPR2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE45365_NK_CELL_VS_CD11B_DC_MCMV_INFECTION_DN
Immunologic_signatures	GSE3982_NEUTROPHIL_VS_NKCELL_UP	161	26	3.840534625757377e-05	0.011006520409817613	S100A11:SLC25A44:CAMK1D:UHRF1BP1L:FOXN3:SEC14L1:NFIC:LPAR2:FCAR:CTB-61M7.2:NCOA1:MXD1:RBCK1:PCIF1:IFNAR2:AP000295.9:BID:MTMR3:PISD:SCO2:IQSEC1:CCR1:GLRX:SGK1:ADAP1:DNAJB9:SLA:GNAQ	http://www.gsea-msigdb.org/gsea/msigdb/cards/GSE3982_NEUTROPHIL_VS_NKCELL_UP
